_source_@timestamp,_source_source_ip,_source_destination_ip,_source_source_port,symb:_source_destination_port,_source_event_duration,_source_network_bytes,_source_query,symb:_source_url_path,_source_url_port,_source_http_response_status_code,_source_http_request_method,symb:source_host_mapping,symb:destination_host_mapping
1041868074,192.168.84.173,192.168.84.177,51594.0,8761.0,814,556,PUT /eureka/apps/API-GATEWAY/cloud-gateway-app-75d45c98bc-mjlxt:API-GATEWAY:9191,>eureka>apps>API-GATEWAY>cloud-gateway-app-75d45c98bc-mjlxt-API-GATEWAY-9191,8761.0,200.0,put,gateway,service-registry-eureka-0
1041868075,192.168.84.173,192.168.84.177,51594.0,8761.0,722,574,GET /eureka/apps/delta,>eureka>apps>delta,8761.0,200.0,get,gateway,service-registry-eureka-0
1041868076,192.168.84.176,192.168.84.177,50284.0,8761.0,730,574,PUT /eureka/apps/DEPARTMENT-SERVICE/department-service-app-7488fb859-xhkx5:DEPARTMENT-SERVICE:9001,>eureka>apps>DEPARTMENT-SERVICE>department-service-app-7488fb859-xhkx5-DEPARTMENT-SERVICE-9001,8761.0,200.0,put,department-service-app-7488fb859-xhkx5,service-registry-eureka-0
1041868077,192.168.84.176,192.168.84.177,50284.0,8761.0,828,574,GET /eureka/apps/delta,>eureka>apps>delta,8761.0,200.0,get,department-service-app-7488fb859-xhkx5,service-registry-eureka-0
1041868081,192.168.84.173,192.168.84.176,40490.0,9001.0,6019,529,GET /departments/2,>departments>2,9001.0,200.0,get,gateway,department-service-app-7488fb859-xhkx5
1041868081,192.168.235.192,192.168.84.173,60442.0,9191.0,10047,315,GET /departments/2,>departments>2,31101.0,200.0,get,user,gateway
1041868082,192.168.84.173,192.168.84.176,40490.0,9001.0,3892,529,GET /departments/2,>departments>2,9001.0,200.0,get,gateway,department-service-app-7488fb859-xhkx5
1041868082,192.168.235.192,192.168.84.173,62833.0,9191.0,6769,315,GET /departments/2,>departments>2,31101.0,200.0,get,user,gateway
1041868083,192.168.235.192,192.168.84.173,52456.0,9191.0,7460,315,GET /departments/2,>departments>2,31101.0,200.0,get,user,gateway
1041868083,192.168.84.173,192.168.84.176,40490.0,9001.0,3328,529,GET /departments/2,>departments>2,9001.0,200.0,get,gateway,department-service-app-7488fb859-xhkx5
1041868085,192.168.84.172,192.168.84.176,35844.0,9001.0,3326,542,GET /departments/1,>departments>1,9001.0,200.0,get,user-service-app-686f9cf445-z24rf,department-service-app-7488fb859-xhkx5
1041868085,192.168.84.173,192.168.84.172,39268.0,9002.0,13820,1731,GET /users/2,>users>2,9002.0,200.0,get,gateway,user-service-app-686f9cf445-z24rf
1041868085,192.168.235.192,192.168.84.173,33205.0,9191.0,19728,1541,GET /users/2,>users>2,31101.0,200.0,get,user,gateway
1041868087,192.168.84.172,192.168.84.176,35844.0,9001.0,9243,539,GET /departments/3,>departments>3,9001.0,200.0,get,user-service-app-686f9cf445-z24rf,department-service-app-7488fb859-xhkx5
1041868087,192.168.84.173,192.168.84.172,39268.0,9002.0,16089,1720,GET /users/3,>users>3,9002.0,200.0,get,gateway,user-service-app-686f9cf445-z24rf
1041868087,192.168.235.192,192.168.84.173,33205.0,9191.0,21622,1530,GET /users/3,>users>3,31101.0,200.0,get,user,gateway
1041868089,192.168.84.173,192.168.84.172,39268.0,9002.0,8675,1720,GET /users/4,>users>4,9002.0,200.0,get,gateway,user-service-app-686f9cf445-z24rf
1041868089,192.168.235.192,192.168.84.173,33205.0,9191.0,13145,1530,GET /users/4,>users>4,31101.0,200.0,get,user,gateway
1041868089,192.168.84.172,192.168.84.176,35844.0,9001.0,2991,539,GET /departments/3,>departments>3,9001.0,200.0,get,user-service-app-686f9cf445-z24rf,department-service-app-7488fb859-xhkx5
1041868091,192.168.235.192,192.168.84.173,33205.0,9191.0,20016,1647,GET /users/5,>users>5,31101.0,500.0,get,user,gateway
1041868091,192.168.84.173,192.168.84.172,39268.0,9002.0,15487,1837,GET /users/5,>users>5,9002.0,500.0,get,gateway,user-service-app-686f9cf445-z24rf
1041868094,192.168.84.172,192.168.84.177,36888.0,8761.0,834,574,GET /eureka/apps/delta,>eureka>apps>delta,8761.0,200.0,get,user-service-app-686f9cf445-z24rf,service-registry-eureka-0
1041868094,192.168.235.192,192.168.84.173,33205.0,9191.0,16823,1511,GET /users/4,>users>4,31101.0,200.0,get,user,gateway
1041868094,192.168.84.173,192.168.84.172,37792.0,9002.0,12276,1701,GET /users/4,>users>4,9002.0,200.0,get,gateway,user-service-app-686f9cf445-z24rf
1041868094,192.168.84.172,192.168.84.177,48658.0,8761.0,834,557,PUT /eureka/apps/USER-SERVICE/user-service-app-686f9cf445-z24rf:USER-SERVICE:9002,>eureka>apps>USER-SERVICE>user-service-app-686f9cf445-z24rf-USER-SERVICE-9002,8761.0,200.0,put,user-service-app-686f9cf445-z24rf,service-registry-eureka-0
1041868094,192.168.84.172,192.168.84.176,35844.0,9001.0,4032,539,GET /departments/3,>departments>3,9001.0,200.0,get,user-service-app-686f9cf445-z24rf,department-service-app-7488fb859-xhkx5
1041868096,192.168.84.172,192.168.84.176,35844.0,9001.0,3404,542,GET /departments/1,>departments>1,9001.0,200.0,get,user-service-app-686f9cf445-z24rf,department-service-app-7488fb859-xhkx5
1041868096,192.168.84.173,192.168.84.172,37792.0,9002.0,9242,1724,GET /users/2,>users>2,9002.0,200.0,get,gateway,user-service-app-686f9cf445-z24rf
1041868096,192.168.235.192,192.168.84.173,33205.0,9191.0,13183,1534,GET /users/2,>users>2,31101.0,200.0,get,user,gateway
1041868098,192.168.84.175,192.168.84.177,54914.0,8761.0,2013,572,PUT /eureka/apps/HYSTRIX-DASHBOARD/hystrix-dashboard-app-56bfb9cf56-x9jbs:HYSTRIX-DASHBOARD:9295,>eureka>apps>HYSTRIX-DASHBOARD>hystrix-dashboard-app-56bfb9cf56-x9jbs-HYSTRIX-DASHBOARD-9295,8761.0,200.0,put,hystrix-dashboard-app-56bfb9cf56-x9jbs,service-registry-eureka-0
1041868098,192.168.235.192,192.168.84.173,33205.0,9191.0,13065,1511,GET /users/3,>users>3,31101.0,200.0,get,user,gateway
1041868098,192.168.84.173,192.168.84.172,37792.0,9002.0,9058,1701,GET /users/3,>users>3,9002.0,200.0,get,gateway,user-service-app-686f9cf445-z24rf
1041868098,192.168.84.172,192.168.84.176,35844.0,9001.0,2994,539,GET /departments/3,>departments>3,9001.0,200.0,get,user-service-app-686f9cf445-z24rf,department-service-app-7488fb859-xhkx5
1041868098,192.168.84.175,192.168.84.177,51336.0,8761.0,1399,574,GET /eureka/apps/delta,>eureka>apps>delta,8761.0,200.0,get,hystrix-dashboard-app-56bfb9cf56-x9jbs,service-registry-eureka-0
1041868100,192.168.84.174,192.168.84.177,58656.0,8761.0,810,566,PUT /eureka/apps/CONFIG-SERVER/cloud-config-server-app-6775fc455f-z28gs:CONFIG-SERVER:9296,>eureka>apps>CONFIG-SERVER>cloud-config-server-app-6775fc455f-z28gs-CONFIG-SERVER-9296,8761.0,200.0,put,cloud-config-server-app-6775fc455f-z28gs,service-registry-eureka-0
1041868100,192.168.84.174,192.168.84.177,58656.0,8761.0,751,574,GET /eureka/apps/delta,>eureka>apps>delta,8761.0,200.0,get,cloud-config-server-app-6775fc455f-z28gs,service-registry-eureka-0
1041868103,192.168.84.173,192.168.84.176,40490.0,9001.0,3257,529,GET /departments/2,>departments>2,9001.0,200.0,get,gateway,department-service-app-7488fb859-xhkx5
